Transaction vs category,Transaction,Category
Sure! Here are the categories I came up with for each expense:,Sure! Here are the categories I came up with for each expense:,
,,
1. Belastingdienst - Taxes,1. Belastingdienst,Taxes
2. Tesco Breda - Groceries,2. Tesco Breda,Groceries
3. Monthly Appartment Rent - Housing,3. Monthly Appartment Rent,Housing
4. Vishandel Sier Amsterdam - Food delivery,4. Vishandel Sier Amsterdam,Food delivery
5. Selling Paintings - Art sales,5. Selling Paintings,Art sales
6. Spotify AB by Adyen - Music streaming,6. Spotify AB by Adyen,Music streaming
7. Tk Maxx Amsterdam DA - Clothing shopping,7. Tk Maxx Amsterdam DA,Clothing shopping
8. Consulting - Professional services,8. Consulting,Professional services
9. Aidsfonds - Charity donations,9. Aidsfonds,Charity donations
10. TLS BV Inz Ov-Chipkaart - Transportation,10. TLS BV Inz Ov-Chipkaart,Transportation
11. Etos Amsterdam - Health and beauty products,11. Etos Amsterdam,Health and beauty products
12. Beta Boulders AMS Amsterdam - Fitness,12. Beta Boulders AMS Amsterdam,Fitness
13. Salary - Personal income,13. Salary,Personal income
14. Bouldermuur BV Amsterdam - Outdoor activities,14. Bouldermuur BV Amsterdam,Outdoor activities
15. Birtat Restaurant Amsterdam - Dining out,15. Birtat Restaurant Amsterdam,Dining out
16. Freelancing - Independent work,16. Freelancing,Independent work
17. Tikkie - Financial planning,17. Tikkie,Financial planning
18. Blogging - Online content creation,18. Blogging,Online content creation
19. Taxi Utrecht - Transportation,19. Taxi Utrecht,Transportation
20. Apple Services - Tech services,20. Apple Services,Tech services
21. Amazon Lux - Online shopping,21. Amazon Lux,Online shopping
22. Classpass* Monthly - Fitness classes,22. Classpass* Monthly,Fitness classes
23. Audible UK AdblCo/Pymt Gbr - Audiobooks,23. Audible UK AdblCo/Pymt Gbr,Audiobooks
,,
"Note: Some of these categories may not be mutually exclusive, as some expenses could potentially fit into multiple categories.","Note: Some of these categories may not be mutually exclusive, as some expenses could potentially fit into multiple categories.",
