Date,Name / Description,Expense/Income,Amount (EUR),Category,Transaction,Transaction vs category
2023-01-01,mcdonalds burger,Expense,26.38,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-01-02,concierto ticketmaster 33,Expense,236.01,Entertainment,concierto ticketmaster 33,concierto ticketmaster 33 (Entertainment)
2023-01-02,seguro de gastos medicos,Expense,79.36,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-01-02,netflix premium,Expense,88.44,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-01-03,seguro de gastos medicos,Expense,24.24,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-01-03,seguro de gastos medicos,Expense,262.96,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-01-03,bono de fin de año,Income,1842.47,Bonus,bono de fin de año,bono de fin de año (Bonus)
2023-01-04,vuelo aeromexico,Expense,202.95,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-01-04,farmacia benavides,Expense,147.44,Health,farmacia benavides,farmacia benavides (Health)
2023-01-05,spotify ab by adyen,Expense,69.59,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-01-05,gimnasio membresia,Expense,142.44,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-01-05,electronicos gadget 53,Expense,150.32,Shopping,electronicos gadget 53,electronicos gadget 53 (Shopping)
2023-01-06,consulta medico,Expense,180.69,Health,consulta medico,consulta medico (Health)
2023-01-07,mcdonalds burger,Expense,84.72,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-01-07,libros de texto,Expense,99.21,Education,libros de texto,libros de texto (Education)
2023-01-07,walmart compra semanal,Expense,133.04,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-01-08,vuelo aeromexico 69,Expense,103.68,Travel,vuelo aeromexico 69,vuelo aeromexico 69 (Travel)
2023-01-08,alquiler coche,Expense,117.79,Travel,alquiler coche,alquiler coche (Travel)
2023-01-08,colegiatura universidad,Expense,167.61,Education,colegiatura universidad,colegiatura universidad (Education)
2023-01-09,consulta medico,Expense,85.39,Health,consulta medico,consulta medico (Health)
2023-01-09,farmacia benavides,Expense,202.54,Health,farmacia benavides,farmacia benavides (Health)
2023-01-09,taxi de noche,Expense,72.83,Transport,taxi de noche,taxi de noche (Transport)
2023-01-10,electronicos gadget,Expense,240.02,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-01-11,pago cliente proyecto,Income,1198.71,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-01-11,gasolinera magna,Expense,286.98,Transport,gasolinera magna,gasolinera magna (Transport)
2023-01-11,dividendo acciones,Income,499.88,Investment,dividendo acciones,dividendo acciones (Investment)
